title,authors,publisher,published_date,description,page_count,categories,language,isbn_10,isbn_13,rating,ratings_count,source,subtitle,primary_category,final_category,search_query,collection_date,difficulty_level,programming_languages,key_topics
A Primer on Scientific Programming with Python,Hans Petter Langtangen,Springer,2016-07-28,"The book serves as a first introduction to computer programming of scientific applications, using the high-level Python language. The exposition is example and problem-oriented, where the applications are taken from mathematics, numerical calculus, statistics, physics, biology and finance. The book teaches ""Matlab-style"" and procedural programming as well as object-oriented programming. High school mathematics is a required background and it is advantageous to study classical and numerical one-v",942,Computers,en,3662498871,9783662498873.0,0.0,0,Google Books,,,,,,,,
"Peterson's Graduate Programs in Computer Science & Information Technology, Electrical & Computer Engineering, and Energy & Power Engineering 2011",Peterson's,Peterson's,2011-05-01,"Peterson's Graduate Programs in Computer Science & Information Technology, Electrical & Computer Engineering, and Energy & Power Engineering contains a wealth of information on colleges and universities that offer graduate work these exciting fields. The profiled institutions include those in the United States, Canada and abroad that are accredited by U.S. accrediting bodies. Up-to-date data, collected through Peterson's Annual Survey of Graduate and Professional Institutions, provides valuable ",663,Study Aids,en,0768934818,9780768934816.0,0.0,0,Google Books,,,,,,,,
Encyclopedia of Computer Science and Technology,Harry Henderson,Infobase Publishing,2009,Presents an illustrated A-Z encyclopedia containing approximately 600 entries on computer and technology related topics.,593,Computers,en,1438110030,9781438110035.0,5.0,1,Google Books,,,,,,,,
Computer Science – CACIC 2018,"Patricia Pesado, Claudio Aciti",Springer,2019-05-20,"This book constitutes revised selected papers from the 24th Argentine Congress on Computer Science, CACIC 2018, held in Tandil, Argentina, in October 2018. The 26 papers presented in this volume were carefully reviewed and selected from a total of 155 submissions. They were organized in topical sections named: Agents and Systems; Distributed and Parallel Processing; Technology Applied to Education; Graphic Computation, Images and Visualization; Software Engineering; Databases and Data Mining; Ha",374,Computers,en,3030207870,9783030207878.0,0.0,0,Google Books,,,,,,,,
Encyclopedia of Computer Science and Technology,"Jack Belzer, Albert G. Holzman, Allen Kent",CRC Press,1977-02-01,"""This comprehensive reference work provides immediate, fingertip access to state-of-the-art technology in nearly 700 self-contained articles written by over 900 international authorities. Each article in the Encyclopedia features current developments and trends in computers, software, vendors, and applications...extensive bibliographies of leading figures in the field, such as Samuel Alexander, John von Neumann, and Norbert Wiener...and in-depth analysis of future directions.""",518,Computers,en,0824722566,9780824722562.0,0.0,0,Google Books,,,,,,,,
Computer Science,J. Glenn Brookshear,Addison Wesley,2000,"This book is appropriate for both majors of computer science and students of other disciplines.""--BOOK JACKET.",630,Business & Economics,en,,,0.0,0,Google Books,,,,,,,,
An Introduction to Computer Science,"Jean-Paul Tremblay, Richard B. Bunt","McGraw-Hill Science, Engineering & Mathematics",1979,,664,Computers,en,,,0.0,0,Google Books,,,,,,,,
"Beginner's Guide to Developing a High School Cybersecurity Program - For High School Teachers, Counselors, Principals, Homeschool Families, Parents and Cybersecurity Education Advocates - Developing a Cybersecurity Program for High School Students","Heather Monthie, PhD",Lulu.com,2019-08-05,"As our lives become increasingly digital, we are open to cybersecurity vulnerabilities in almost everything we touch. Whether it�s our smart homes, autonomous vehicles, or medical devices designed to save lives, we need a well-educated society who knows how to protect themselves, their families, and their businesses from life-altering cyber attacks. Developing a strong cybersecurity workforce is imperative for those working with emerging technologies to continue to create and innovate while prot",86,Computers,en,0359829465,9780359829460.0,0.0,0,Google Books,,,,,,,,
"Research Anthology on Computational Thinking, Programming, and Robotics in the Classroom","Management Association, Information Resources",IGI Global,2021-07-16,"The education system is constantly growing and developing as more ways to teach and learn are implemented into the classroom. Recently, there has been a growing interest in teaching computational thinking with schools all over the world introducing it to the curriculum due to its ability to allow students to become proficient at problem solving using logic, an essential life skill. In order to provide the best education possible, it is imperative that computational thinking strategies, along wit",996,Education,en,1668424126,9781668424124.0,0.0,0,Google Books,,,,,,,,
"Information Technology for Education, Science, and Technics","Emil Faure, Yurii Tryus, Tero Vartiainen, Olena Danchenko, Maksym Bondarenko, Constantine Bazilo, Grygoriy Zaspa",Springer Nature,2024-10-07,"This book explores issues related to information and communication technology in management and higher education, intelligent computing, and information security. In this book, the authors investigate various aspects of information and communication technology and systems, their development and applications in education, science, and management. The authors develop new models, methods, and approaches for digital transformation in management processes including digital project management, intelli",517,Technology & Engineering,en,3031718046,9783031718045.0,0.0,0,Google Books,,,,,,,,
Python Programming in Context,"Bradley N. Miller, David L. Ranum, Julie Anderson",Jones & Bartlett Learning,2019-10-01,"Python Programming in Context, Third Edition provides a comprehensive and accessible introduction to Python fundamentals. Updated with the latest version of Python, the new Third Edition offers a thorough overview of multiple applied areas, including image processing, cryptography, astronomy, the Internet, and bioinformatics. Taking an active learning approach, each chapter starts with a comprehensive real-world project that teaches core design techniques and Python programming while engaging st",516,Computers,en,1284175553,9781284175554.0,0.0,0,Google Books,,,,,,,,
Python Programming,Adam Stewart,Createspace Independent Publishing Platform,2017-01-10,"Python Programming Complete Crash Course Python Programming For Beginners, Python Programming For Intertmediates, Python Programming For Advanced This Python Programming Bundle includes all 3 books Python Programming For Beginners Python Programming For Intermediates Python Programming For Advanced",276,,en,1542493129,9781542493123.0,0.0,0,Google Books,,,,,,,,
Python Programming,Daniel O'Reilly,,2021-02-07,"★ 55% OFF for Bookstores! NOW at $32.95 instead of $42.95★ Would You Like to Know How to Automate Boring Stuff Quickly? Discover the Easiest Way to Learn Everything About Python and Machine Learning! Are you ready to embark on a great journey through the incredible world of Python and data science? If you are reading this, you probably have a keen interest in programming and computer science. You like to know how things work, and you want to make them work as efficiently as possible, right? If s",292,Computers,en,1801825882,9781801825887.0,0.0,0,Google Books,,,,,,,,
PYTHON PROGRAMMING,NARAYAN CHANGDER,CHANGDER OUTLINE,2024-05-15,"If you need a free PDF practice set of this book for your studies, feel free to reach out to me at cbsenet4u@gmail.com, and I'll send you a copy! THE PYTHON PROGRAMMING MCQ (MULTIPLE CHOICE QUESTIONS) SERVES AS A VALUABLE RESOURCE FOR INDIVIDUALS AIMING TO DEEPEN THEIR UNDERSTANDING OF VARIOUS COMPETITIVE EXAMS, CLASS TESTS, QUIZ COMPETITIONS, AND SIMILAR ASSESSMENTS. WITH ITS EXTENSIVE COLLECTION OF MCQS, THIS BOOK EMPOWERS YOU TO ASSESS YOUR GRASP OF THE SUBJECT MATTER AND YOUR PROFICIENCY LEV",385,Juvenile Nonfiction,en,,,0.0,0,Google Books,,,,,,,,
PYTHON PROGRAMMING,"KUMARI, LALITA, SHYAM, RADHEY",PHI Learning Pvt. Ltd.,2025-01-01,"This comprehensive text on Python programming is designed for undergraduate and postgraduate students in Computer Science and Information Technology. Whether you are a beginner or have limited programming knowledge, this book offers a structured learning experience, starting from foundational concepts and advancing to complex topics like machine learning. Divided into three parts, the book ensures a smooth progression from Basics and Core concepts of Python to Machine Learning with Python. It co",265,Computers,en,9354439713,9789354439711.0,0.0,0,Google Books,,,,,,,,
Python Programming,Mr. Rohit Manglik,EduGorilla Publication,2024-03-06,"EduGorilla Publication is a trusted name in the education sector, committed to empowering learners with high-quality study materials and resources. Specializing in competitive exams and academic support, EduGorilla provides comprehensive and well-structured content tailored to meet the needs of students across various streams and levels.",238,Computers,en,9370934448,9789370934443.0,0.0,0,Google Books,,,,,,,,
Ultimate Python Programming,Deepali Srivastava,BPB Publications,2024-05-16,"Dive deep into the core concepts of Python KEY FEATURES ● The concepts in this book are illustrated through numerous short code snippets and more than 650 programming examples. ● The book contains a comprehensive collection of over 900 end-of-chapter exercises, including both MCQs and programming exercises. The solutions to all the exercises are also available. ● The book includes coding conventions and best practices for writing efficient, readable, and maintainable code. DESCRIPTION This book ",1430,Computers,en,935551655X,9789355516558.0,0.0,0,Google Books,,,,,,,,
Learn Python Programming,NK Chaurasiya,Niranjan Kumar,,"‘Learn Python Programming’ provides basic and advanced concepts of Python. Our Python tutorial is designed for beginners and professionals. Python is a simple, general purpose, high level, and object-oriented programming language. Python is an interpreted scripting language also. Guido Van Rossum is known as the founder of Python programming. ‘Learn Python Programming’ includes all topics of Python Programming such as installation, control statements, Strings, Lists, Tuples, Dictionary, Modules,",261,Computers,en,,,0.0,0,Google Books,,,,,,,,
Python Programming,"C. K. Dhaliwal, Poonam Rana, T. P. S. Brar",Taylor & Francis,2024-08-02,"This book explores Python's rich history, dynamic features, and its wide-ranging applications in web development, data science, and machine learning. From its installation process to interactive help, readers embark on a journey through Python's unique characteristics and its distinctions from other programming languages. It lays a solid foundation for beginners and seasoned programmers alike. Print edition not for sale in South Asia (India, Sri Lanka, Nepal, Bangladesh, Pakistan or Bhutan)",248,Computers,en,1040100430,9781040100431.0,0.0,0,Google Books,,,,,,,,
PYTHON PROGRAMMING,"Dr.M Sirish Kumar, G.Radhika, A.Basi Reddy",RAJA SURESH,2023-02-22,This book aims to provide a broad PYTHON PROGRAMMING for the importance of PYTHON PROGRAMMING is well known in various engineering fields. The book uses to explain the fundamentals of this subject. It provides a logical method of explaining various complicated concepts and stepwise methods to explain important topics. Each chapter is well supported with necessary illustrations. All the chapters in the book are arranged in a proper sequence that permits each topic to build upon earlier studies. P,192,Antiques & Collectibles,en,8196176937,9788196176938.0,0.0,0,Google Books,,,,,,,,
Python Programming,"Dr. Venkata Kiran Kumar Ravi, Dr. C. V. Lakshmi Narayana, Amit Joshi, Mrs. Chethana T.V",RK Publication,2025-08-26,"""Python Programming offers a comprehensive guide to learning Python, covering fundamentals, data structures, object-oriented programming, and advanced topics. Ideal for beginners and experienced developers, it emphasizes practical examples, problem-solving, and real-world applications, equipping readers with the skills to build robust software, automate tasks, and develop data-driven solutions efficiently.""",263,Computers,en,9349701928,9789349701922.0,0.0,0,Google Books,,,,,,,,
"Python Programming, Deep Learning",Anthony Adams,Anthony Adams,2021-12-17,"Easily Boost Your Skills In Python Programming & Become A Master In Deep Learning & Data Analysis! 💻 Python is an interpreted, high-level, general-purpose programming language that emphasizes code readability with its notable use of significant whitespace. What makes Python so popular in the IT industry is that it uses an object-oriented approach, which enables programmers to write clear, logical code for all types of projects, whether big or small. Hone your Python Programming skills and gain a",315,Computers,en,,,4.0,1,Google Books,,,,,,,,
PYTHON PROGRAMMING FOR BEGINNERS,Mike Kernell,,2022-08-03,"What is the point of learning Python if you're just starting out? What does Python have in store for you, exactly? Python is an object-oriented programming language that is high-level and has built-in data structures and dynamic semantics. It supports various programming paradigms, including structures, object-oriented programming, and functional programming, among others. Python provides several distinct modules and bundles, which enables program modularity and code reuse to be accomplished. Th",175,Computers,en,,,0.0,0,Google Books,,,,,,,,
Python Programming,John M. Zelle,"Franklin, Beedle & Associates, Inc.",2004,"This book is suitable for use in a university-level first course in computing (CS1), as well as the increasingly popular course known as CS0. It is difficult for many students to master basic concepts in computer science and programming. A large portion of the confusion can be blamed on the complexity of the tools and materials that are traditionally used to teach CS1 and CS2. This textbook was written with a single overarching goal: to present the core concepts of computer science as simply as ",533,Computers,en,1887902996,9781887902991.0,4.0,18,Google Books,,,,,,,,
Python Programming Exam Essentials,Cybellium,Cybellium Ltd,,"Welcome to the forefront of knowledge with Cybellium, your trusted partner in mastering the cuttign-edge fields of IT, Artificial Intelligence, Cyber Security, Business, Economics and Science. Designed for professionals, students, and enthusiasts alike, our comprehensive books empower you to stay ahead in a rapidly evolving digital world. * Expert Insights: Our books provide deep, actionable insights that bridge the gap between theory and practical application. * Up-to-Date Content: Stay current",243,Study Aids,en,1836794878,9781836794875.0,0.0,0,Google Books,,,,,,,,
Learn Python Programming Systematically and Step by Step,Chaitanya Patil,Chaitanya Patil,,Python is immensely popular and one of the most highly-demanded programming languages in the world. You can learn Python Programming Systematically and Step by Step by referring to this eBook. Refer to the Video Course for more clarity.,361,Computers,en,,,0.0,0,Google Books,,,,,,,,
PYTHON PROGRAMMING FOR NEWBIES,Ajit Kumar,Ajit Kumar,2021-05-06,"Python is one of the best programming languages which is both simple and powerful. This is good for beginners as well as for experts, and more importantly, is fun to program with. This book aims to help you learn this wonderful language and show how to get things done quickly. This book is written to help you learn Python programming FAST and learn it WELL. If you are a beginner in Programming, you'll find that this book explains complex concepts in an easy-to-understand manner. Examples are car",301,Computers,en,9354458386,9789354458385.0,0.0,0,Google Books,,,,,,,,
Python Programming for Biology,"Tim J. Stevens, Wayne Boucher",Cambridge University Press,2015-02-12,"This book introduces Python as a powerful tool for the investigation of problems in computational biology, for novices and experienced programmers alike.",721,Computers,en,0521895839,9780521895835.0,0.0,0,Google Books,,,,,,,,
"Python Programming for Raspberry Pi, Sams Teach Yourself in 24 Hourss","Richard Blum, Christine Bresnahan",Sams Publishing,2013-10-24,"In just 24 sessions of one hour or less, Sams Teach Yourself Python Programming for Raspberry Pi in 24 Hours teaches you Python programmingon Raspberry Pi, so you can start creating awesome projects for homeautomation, home theater, gaming, and more. Using this book’s straightforward,step-by-step approach, you’ll move from the absolute basics all theway through network and web connections, multimedia, and even connectingwith electronic circuits for sensing and robotics. Every lesson and casestud",599,Technology & Engineering,en,0133490173,9780133490176.0,5.0,1,Google Books,,,,,,,,
Python Programming for Linguistics and Digital Humanities,Martin Weisser,John Wiley & Sons,2024-01-31,"Learn how to use Python for linguistics and digital humanities research, perfect for students working with Python for the first time Python programming is no longer only for computer science students; it is now an essential skill in linguistics, the digital humanities (DH), and social science programs that involve text analytics. Python Programming for Linguistics and Digital Humanities provides a comprehensive introduction to this widely used programming language, offering guidance on using Pyt",295,Computers,en,1119907942,9781119907947.0,0.0,0,Google Books,,,,,,,,
Programming Python,Mark Lutz,"""O'Reilly Media, Inc.""",2010-12-14,"If you've mastered Python's fundamentals, you're ready to start using it to get real work done. Programming Python will show you how, with in-depth tutorials on the language's primary application domains: system administration, GUIs, and the Web. You'll also explore how Python is used in databases, networking, front-end scripting layers, text processing, and more. This book focuses on commonly used tools and libraries to give you a comprehensive understanding of Python’s many roles in practical,",1630,Computers,en,1449302750,9781449302757.0,3.0,2,Google Books,,,,,,,,
Python Programming and Applications,Mr. Rohit Manglik,EduGorilla Publication,2024-03-09,"EduGorilla Publication is a trusted name in the education sector, committed to empowering learners with high-quality study materials and resources. Specializing in competitive exams and academic support, EduGorilla provides comprehensive and well-structured content tailored to meet the needs of students across various streams and levels.",198,Computers,en,9371047550,9789371047555.0,0.0,0,Google Books,,,,,,,,
Basics of Python Programming: A Quick Guide for Beginners,"Krishna Kumar Mohbey, Malika Acharya",Bentham Science Publishers,2023-12-08,"Basics of Python Programming: A Quick Guide for Beginners is an essential companion to mastering the Python programming language. The book presents information about Python in 12 structured chapters with a strong emphasis on fundamentals and practical information. Starting with basic operators, functions and expressions, contents explain file handling, exception handling and modules. The book concludes with advanced topics such as object oriented programming and machine learning. Key Features: F",281,Computers,en,9815179640,9789815179644.0,0.0,0,Google Books,,,,,,,,
Python Programming Recipes for IoT Applications,"Jivan S. Parab, Madhusudan Ganuji Lanjewar, Marlon Darius Sequeira, Gourish Naik, Arman Yusuf Shaikh",Springer Nature,2023-06-07,"The book comprehensively covers the most important applications of the internet of things (IoT) using Python programming on Raspberry pi, Micropython Py Board, and NVIDIA Jetson Board. The authors have used an immersive ‘hands-on’ approach to help readers gain expertise in developing working code for real-world IoT applications. The book focuses on industry-standard embedded platforms for IoT applications. It also gives a glimpse of python programming and setup configuration of these embedded pl",206,Technology & Engineering,en,9811994668,9789811994661.0,0.0,0,Google Books,,,,,,,,
Python Programming Guide for GCSE Computer Science (includes Python Files),CGP Books,CGP Ltd,2022-04-13,"This brilliant CGP book is the perfect no-nonsense guide for anyone who wants to learn Python! It contains clear notes on all the key programming skills — ideal for Python beginners, GCSE Computer Science students, and as an introduction to Python at A-Level. There are plenty of useful practice questions, fully-worked examples and coding challenges throughout, with full answers included at the back of the book. We've even added over 250 downloadable files covering different areas of Python — the",132,Young Adult Nonfiction,en,1789088623,9781789088625.0,0.0,0,Google Books,,,,,,,,
Python Programming,Rupesh Nasre,KHANNA PUBLISHING HOUSE,2025-06-01,,153,Computers,en,9355387458,9789355387455.0,0.0,0,Google Books,,,,,,,,
An Introduction to Python Programming: A Practical Approach,"Dr. Krishna Kumar Mohbey, Dr. Brijesh Bakariya",BPB Publications,2021-08-26,step-by-step approach to Python programming with machine learning fundamental and theoretical principles. KEY FEATURES ● Introduces readers to Python programming in a very simple way. ● Extensive practical demonstration of Python concepts using numerous examples. ● Implementation of machine learning in Python using hands-on techniques. DESCRIPTION The book ‘Introduction to Python Programming: A Practical Approach’ lays out a path for readers who want to pursue a career in the field of computer s,472,Computers,en,9391392067,9789391392062.0,0.0,0,Google Books,,,,,,,,
Geospatial Application Development Using Python Programming,"Galety, Mohammad Gouse, Natarajan, Arul Kumar, Gedefa, Tesfaye Fufa, Lemma, Tsegaye Demsis",IGI Global,2024-05-16,"Academics and researchers currently grapple with a pressing issue; the demand for precise and insightful geographical information has surged across various fields, encompassing urban planning, environmental monitoring, agriculture, and disaster management. This surge has revealed a substantial knowledge gap, underscoring the need for effective applications that can bridge the gap between cutting-edge technologies and practical usage. Geospatial Application Development Using Python Programming em",364,Technology & Engineering,en,,9798369317556.0,0.0,0,Google Books,,,,,,,,
Kickstart Python Programming Fundamentals: Real-World Projects and Hands-on Exercises to Cement Every Python Programming Concept,Jit Sinha,Orange Education Pvt Limited,2025-06-24,"Keep Calm and Let Us Tame the Python.. Key Features● Beginner-friendly with clear examples and no prior coding needed.● Step-by-step projects from basics to real-world applications.● Hands-on learning with flowcharts, functions, and data tools.. Book DescriptionPython is more than a programming language—it’s a career catalyst. Whether you're aiming to future-proof your skills, automate everyday tasks, or break into tech, Python is the gateway. Kickstart Python Programming Fundamentals is your la",787,Computers,en,9349888556,9789349888555.0,0.0,0,Google Books,,,,,,,,
Python Programming for Beginners: A Comprehensive Introduction,Michael Roberts,Richards Education,,"Unlock the power of programming with Python Programming for Beginners: A Comprehensive Introduction. This definitive guide is perfect for anyone looking to dive into the world of Python, one of the most popular and versatile programming languages today. Starting with the basics, this book walks you through setting up your environment, understanding fundamental concepts, and progressing to more advanced topics such as object-oriented programming, data handling, and web development. Each chapter i",123,Computers,en,,,0.0,0,Google Books,,,,,,,,
Python Programming for Beginners: A Comprehensive Crash Course With Practical Exercises to Quickly Learn Coding and Programming for Data Analysis and Machine Learning,Anthony Adams,Anthony Adams,2021-12-15,"Do You Want To Learn How To Code, Fast? This Crash Course With Practical Examples Is About To Become Your Best Friend! Would you like to become an expert in coding and programming? Are you looking for a way to learn coding on your own? Well, this book is everything you’ve been looking for! It will teach you everything there is about Python coding, programming, artificial intelligence, and machine learning. If you want to learn how to code, taking your first steps into the coding universe might s",198,Computers,en,,,0.0,0,Google Books,,,,,,,,
PYTHON PROGRAMMING FOR COMPUTER SCIENCE,"Prof. Chetan N. Rathod, Prof. Mayank N. Jain & Prof. Bhumika K. Charnanand",Onlinegatha,2020-10-08,"This book provides a quick introduction to the Python programming language. Python is a popular object-oriented language used for both stand-alone programs and scripting applications in a variety of domains. It's free, portable, powerful, and remarkably easy to use. Whether you're new to programming or a professional developer, this book's goal is to bring you up to speed on the core Python language in a hurry.",177,Antiques & Collectibles,en,9390388287,9789390388288.0,0.0,0,Google Books,,,,,,,,
Python Essentials 2: Aligned with PCAP Certified Associate in Python Programming,The OpenEDG Python Institute,Open Education and Development Group LLC,,"Immerse yourself in some of the more advanced Python concepts, master Object-Oriented Programming, and gear up for the prestigious PCAP™ – Certified Associate Python Programmer certification. By the end of this book, you'll be equipped with the expertise to carry out more sophisticated Software Development, Security, Networking, IoT, and engineering roles. Additionally, this book will prepare you to tackle the PCAP qualification exam and take your programming skills to the next level. Being PCAP",241,Computers,en,,9798987762219.0,0.0,0,Google Books,,,,,,,,
Learn Python Programming for Beginners,Flynn Fisher,Flynn Fisher,,"The Complete Python Masterclass Made Easy, Even if You’ve Never Coded in Your Life! If you go on Google right at this second and open any statistics with the most in-demand programming languages for the past 5 years until today you will consistently see in the top 3 a language called ‘Python’. More often than not, it is the number one programming language to learn year after year. But why would so many people look for Python experts? Two big reasons: - It’s an extremely powerful high-level progr",68,Computers,en,,,0.0,0,Google Books,,,,,,,,
Mastering Python Programming,Md. Al-Amin,Ocleno,2024-07-17,,77,Computers,en,,,0.0,0,Google Books,,,,,,,,
Functional Python Programming,Steven Lott,Packt Publishing Ltd,2015-01-31,"This book is for developers who want to use Python to write programs that lean heavily on functional programming design patterns. You should be comfortable with Python programming, but no knowledge of functional programming paradigms is needed.",361,Computers,en,178439761X,9781784397616.0,0.0,0,Google Books,,,,,,,,
PYTHON PROGRAMMING SIMPLIFIED,VIkas Thada,RSYN RESEARCH LLP,2024-08-30,"Python Programming Simplified: An Absolute Beginner’s Guide by Dr. Vikas Thada, Professor & Head (CSE), Amity University Madhya Pradesh Welcome to ""Python Programming Simplified: An Absolute Beginner’s Guide,"" a meticulously crafted resource designed for those embarking on their Python programming journey. Authored by Dr. Vikas Thada, a seasoned educator and head of the Computer Science and Engineering department at Amity University Madhya Pradesh, this book offers a clear and comprehensive intr",365,Computers,en,,,0.0,0,Google Books,,,,,,,,
Easy and Quick Python Programming for Kids,Mahesh Sambhaji Jadhav,HighTechEasy Publishing,2020-06-29,Fun and friendly way of programming for kids Simple to understand format is specialty of the book. Learn latest Python 3 programming concepts Python programming syntax explained from images. Lots of real-life programs along with output screenshot. Logic box explains logic of each program. Best book to prepare for School and college exams,99,Computers,en,,,0.0,0,Google Books,,,,,,,,
Introduction to Python Programming,Mr. Rohit Manglik,EduGorilla Publication,2024-11-24,"Introduces Python, covering basic syntax, data types, and programming constructs for beginners in software development and scripting.",108,Computers,en,9370938001,9789370938007.0,0.0,0,Google Books,,,,,,,,
Learn Python,Damon Parker,Damon Parker,2021-06-12,"Python programming language has rendered itself as the language of choice for coding beginners and advanced software programmers alike. This book is written to help you master the basic concepts of Python coding and how you can utilize your coding skills to analyze a large volume of data and uncover valuable information that can otherwise be easily lost in the volume. It was designed primarily to emphasize the readability of the programming code, and its syntax enables programmers to convey idea",141,Computers,en,,,0.0,0,Google Books,,,,,,,,
Modern JavaScript Web Development Cookbook,Federico Kereki,Packt Publishing Ltd,2018-12-26,"Over 90 recipes to help you write clean code, solve common JavaScript problems, and work on popular use cases like SPAs, microservices, native mobile development with Node, React, React Native and Electron. Key FeaturesOver 90 practical recipes to help you write clean and maintainable JavaScript codes with the latest ES8Leverage the power of leading web frameworks like Node and React to build modern web appsFeatures comprehensive coverage of tools and techniques needed to create multi-platform a",632,Computers,en,1788992350,9781788992350.0,0.0,0,Google Books,,,,,,,,
JavaScript from Beginner to Professional,"Laurence Lars Svekis, Maaike van Putten, Codestars By Rob Percival",Packt Publishing Ltd,2021-12-15,"Start your journey towards becoming a JavaScript developer with the help of more than 100 fun exercises and projects. Purchase of the print or Kindle book includes a free eBook in the PDF format. Key Features Write eloquent JavaScript and employ fundamental and advanced features to create your own web apps Interact with the browser with HTML and JavaScript, and add dynamic images, shapes, and text with HTML5 Canvas Build a password checker, paint web app, hangman game, and many more fun projects",545,Computers,en,1800566778,9781800566774.0,0.0,0,Google Books,,,,,,,,
"Web Programming with HTML5, CSS, and JavaScript",Dean,Jones & Bartlett Learning,2018-01-19,"""Covers the three client-side technologies (HTML5, CSS, and JavaScript) in depth, with no dependence on server-side technologies. One of the distinguishing features of this new text is its coverage of canvas, one of the most important new features of HTML5. Topics are presented in a logical, comprehensive manner and code is presented in both short code fragments and complete web pages, allowing readers to grasp concepts quickly and then apply the concepts in the context of a complete web page. E",699,Computers,en,1284091791,9781284091793.0,5.0,1,Google Books,,,,,,,,
JavaScript and jQuery,Jon Duckett,John Wiley & Sons,2014-06-30,"Jon Duckett’s best-selling, full-color introduction to JavaScript—filled with techniques to make websites more interactive and engaging Learn JavaScript and jQuery from the author who has inspired hundreds of thousands of beginner-to-intermediate coders. Build upon your HTML and CSS foundation and take the next step in your programming journey with JavaScript. The world runs on JavaScript and the most influential tech companies are looking for new and experienced programmers alike to bring their",640,Computers,en,1118531647,9781118531648.0,5.0,1,Google Books,,,,,,,,
